Object ID,Title,Artist Display Name,Object Date,Classification,Link Resource,Avg. Anger,Avg. Contempt,Avg. Disgust,Avg. Fear,Avg. Happiness,Avg. Neutral,Avg. Sadness,Avg. Surprise,yearapprox,intyears
717237,"Miss Sala, from the Actresses series (N203) issued by Wm. S. Kimball & Co.",William S. Kimball & Company,1889,Ephemera|Photographs,http://www.metmuseum.org/art/collection/search/717237,0.0,0.001,0.0,0.0,0.995,0.004,0.0,0.0,1889-01-01 00:00:00,1889
717304,"Craig Swan, New York Mets",Topps Chewing Gum Company,1977,Prints,http://www.metmuseum.org/art/collection/search/717304,0.0,0.0,0.0,0.0,0.981,0.019,0.0,0.0,1977-01-01 00:00:00,1977
717306,"Jim Hunter, New York Yankees",Topps Chewing Gum Company,1977,Prints,http://www.metmuseum.org/art/collection/search/717306,0.0,0.0,0.0,0.0,0.978,0.022000000000000002,0.0,0.0,1977-01-01 00:00:00,1977
717329,"Album 216, page 46",,ca. 1890,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/717329,0.0,0.001,0.0,0.0,0.87,0.129,0.0,0.0,1890-01-01 00:00:00,1890
717713,"Cancan, from National Dances (N225, Type 1) issued by Kinney Bros.",Kinney Brothers Tobacco Company,1889,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/717713,0.0,0.0,0.0,0.0,0.941,0.057999999999999996,0.0,0.0,1889-01-01 00:00:00,1889
717714,"Cancan, from National Dances (N225, Type 1) issued by Kinney Bros.",Kinney Brothers Tobacco Company,1889,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/717714,0.0,0.001,0.0,0.0,0.9359999999999999,0.064,0.0,0.0,1889-01-01 00:00:00,1889
717717,"Csardas, from National Dances (N225, Type 1) issued by Kinney Bros.",Kinney Brothers Tobacco Company,1889,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/717717,0.0,0.002,0.0,0.0,0.785,0.212,0.0,0.001,1889-01-01 00:00:00,1889
717719,"Csardas, from National Dances (N225, Type 1) issued by Kinney Bros.",Kinney Brothers Tobacco Company,1889,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/717719,0.0,0.003,0.0,0.0,0.9890000000000001,0.006999999999999999,0.0,0.0,1889-01-01 00:00:00,1889
717722,"Fandango, from National Dances (N225, Type 1) issued by Kinney Bros.",Kinney Brothers Tobacco Company,1889,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/717722,0.0,0.002,0.0,0.0,0.998,0.0,0.0,0.0,1889-01-01 00:00:00,1889
717723,"Fandango, from National Dances (N225, Type 1) issued by Kinney Bros.",Kinney Brothers Tobacco Company,1889,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/717723,0.0,0.013999999999999999,0.0,0.0,0.8420000000000001,0.14300000000000002,0.0,0.0,1889-01-01 00:00:00,1889
717724,"Flower Dance, from National Dances (N225, Type 1) issued by Kinney Bros.",Kinney Brothers Tobacco Company,1889,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/717724,0.0,0.001,0.0,0.0,0.963,0.035,0.0,0.001,1889-01-01 00:00:00,1889
717728,"Gitana, from National Dances (N225, Type 1) issued by Kinney Bros.",Kinney Brothers Tobacco Company,1889,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/717728,0.0,0.001,0.0,0.0,0.985,0.013999999999999999,0.0,0.0,1889-01-01 00:00:00,1889
717731,"Golubez Dove Dance, from National Dances (N225, Type 1) issued by Kinney Bros.",Kinney Brothers Tobacco Company,1889,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/717731,0.0,0.001,0.0,0.0,0.9590000000000001,0.040999999999999995,0.0,0.0,1889-01-01 00:00:00,1889
717732,"Golubez Dove Dance, from National Dances (N225, Type 1) issued by Kinney Bros.",Kinney Brothers Tobacco Company,1889,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/717732,0.0,0.002,0.0,0.0,0.767,0.23199999999999998,0.0,0.0,1889-01-01 00:00:00,1889
717741,"Guarracha, from National Dances (N225, Type 1) issued by Kinney Bros.",Kinney Brothers Tobacco Company,1889,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/717741,0.0,0.003,0.0,0.0,0.8540000000000001,0.136,0.004,0.002,1889-01-01 00:00:00,1889
717751,"Jarabe, from National Dances (N225, Type 1) issued by Kinney Bros.",Kinney Brothers Tobacco Company,1889,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/717751,0.0,0.0,0.0,0.0,0.828,0.17,0.0,0.002,1889-01-01 00:00:00,1889
717778,"Kosaka, from National Dances (N225, Type 1) issued by Kinney Bros.",Kinney Brothers Tobacco Company,1889,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/717778,0.0,0.0,0.0,0.0,0.997,0.002,0.0,0.0,1889-01-01 00:00:00,1889
717779,"Kosaka, from National Dances (N225, Type 1) issued by Kinney Bros.",Kinney Brothers Tobacco Company,1889,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/717779,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1889-01-01 00:00:00,1889
717780,"Madrilena, from National Dances (N225, Type 1) issued by Kinney Bros.",Kinney Brothers Tobacco Company,1889,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/717780,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1889-01-01 00:00:00,1889
717781,"Madrilena, from National Dances (N225, Type 1) issued by Kinney Bros.",Kinney Brothers Tobacco Company,1889,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/717781,0.0,0.0,0.0,0.0,0.9940000000000001,0.001,0.002,0.002,1889-01-01 00:00:00,1889
717782,"Matelot, from National Dances (N225, Type 1) issued by Kinney Bros.",Kinney Brothers Tobacco Company,1889,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/717782,0.0,0.001,0.0,0.0,0.9990000000000001,0.0,0.0,0.0,1889-01-01 00:00:00,1889
717783,"Matelot, from National Dances (N225, Type 1) issued by Kinney Bros.",Kinney Brothers Tobacco Company,1889,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/717783,0.0,0.015,0.0,0.0,0.852,0.132,0.0,0.001,1889-01-01 00:00:00,1889
717785,"Matelot, from National Dances (N225, Type 1) issued by Kinney Bros.",Kinney Brothers Tobacco Company,1889,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/717785,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1889-01-01 00:00:00,1889
717791,"Neapolitan, from National Dances (N225, Type 1) issued by Kinney Bros.",Kinney Brothers Tobacco Company,1889,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/717791,0.0,0.0,0.0,0.0,0.95,0.048,0.001,0.0,1889-01-01 00:00:00,1889
717800,"Polish Mazurka, from National Dances (N225, Type 1) issued by Kinney Bros.",Kinney Brothers Tobacco Company,1889,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/717800,0.0,0.003,0.0,0.0,0.8009999999999999,0.195,0.001,0.001,1889-01-01 00:00:00,1889
717801,"Sailor's Hornpipe, from National Dances (N225, Type 1) issued by Kinney Bros.",Kinney Brothers Tobacco Company,1889,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/717801,0.0,0.0,0.0,0.0,0.924,0.075,0.0,0.0,1889-01-01 00:00:00,1889
717808,"Saltarello, from National Dances (N225, Type 1) issued by Kinney Bros.",Kinney Brothers Tobacco Company,1889,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/717808,0.0,0.001,0.0,0.0,0.99,0.009000000000000001,0.0,0.0,1889-01-01 00:00:00,1889
717815,"Suabian Waltz, from National Dances (N225, Type 1) issued by Kinney Bros.",Kinney Brothers Tobacco Company,1889,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/717815,0.0,0.0,0.0,0.0,0.9990000000000001,0.0,0.0,0.0,1889-01-01 00:00:00,1889
717816,"Suabian Dance, from National Dances (N225, Type 1) issued by Kinney Bros.",Kinney Brothers Tobacco Company,1889,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/717816,0.0,0.001,0.0,0.0,0.897,0.07200000000000001,0.03,0.0,1889-01-01 00:00:00,1889
717826,"Vintage Dance, from National Dances (N225, Type 1) issued by Kinney Bros.",Kinney Brothers Tobacco Company,1889,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/717826,0.0,0.0,0.0,0.0,0.9990000000000001,0.0,0.0,0.001,1889-01-01 00:00:00,1889
717827,"Vintage Dance, from National Dances (N225, Type 1) issued by Kinney Bros.",Kinney Brothers Tobacco Company,1889,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/717827,0.0,0.0,0.0,0.0,0.9990000000000001,0.001,0.0,0.0,1889-01-01 00:00:00,1889
717832,"Alme, from National Dances (N225, Type 2) issued by Kinney Bros.",Kinney Brothers Tobacco Company,1889,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/717832,0.0,0.001,0.0,0.0,0.9620000000000001,0.037000000000000005,0.0,0.0,1889-01-01 00:00:00,1889
717837,"Fandango, from National Dances (N225, Type 2) issued by Kinney Bros.",Kinney Brothers Tobacco Company,1889,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/717837,0.0,0.004,0.0,0.0,0.98,0.016,0.0,0.0,1889-01-01 00:00:00,1889
717839,"Foulard, from National Dances (N225, Type 2) issued by Kinney Bros.",Kinney Brothers Tobacco Company,1889,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/717839,0.0,0.003,0.0,0.001,0.831,0.152,0.001,0.012,1889-01-01 00:00:00,1889
717849,"Matelot, from National Dances (N225, Type 2) issued by Kinney Bros.",Kinney Brothers Tobacco Company,1889,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/717849,0.0,0.006,0.0,0.0,0.7709999999999999,0.221,0.001,0.001,1889-01-01 00:00:00,1889
717850,"Manfredo, from National Dances (N225, Type 2) issued by Kinney Bros.",Kinney Brothers Tobacco Company,1889,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/717850,0.0,0.001,0.0,0.0,0.992,0.003,0.003,0.0,1889-01-01 00:00:00,1889
717851,"Neapolitan, from National Dances (N225, Type 2) issued by Kinney Bros.",Kinney Brothers Tobacco Company,1889,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/717851,0.0,0.0,0.0,0.0,0.982,0.017,0.0,0.001,1889-01-01 00:00:00,1889
718336,"Bill Donovan, Manager, Philadelphia Nationals, from the American Caramel Baseball Players series (E121) for the American Caramel Company","American Caramel Company, Lancaster and York, Pennsylvania",1921-22,Ephemera|Prints,http://www.metmuseum.org/art/collection/search/718336,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1921-01-01 00:00:00,1921
721947,"American Indian, from Types of Nationalities (N240) issued by Kinney Bros.",Kinney Brothers Tobacco Company,1890,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/721947,0.03,0.013000000000000001,0.002,0.002,0.915,0.035,0.001,0.001,1890-01-01 00:00:00,1890
721956,"Egyptian, from Types of Nationalities (N240) issued by Kinney Bros.",Kinney Brothers Tobacco Company,1890,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/721956,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1890-01-01 00:00:00,1890
721962,"Esquimaux, from Types of Nationalities (N240) issued by Kinney Bros.",Kinney Brothers Tobacco Company,1890,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/721962,0.0,0.0,0.0,0.0,0.9940000000000001,0.005,0.001,0.0,1890-01-01 00:00:00,1890
721981,"Irish, Moss Gatherer, from Types of Nationalities (N240) issued by Kinney Bros.",Kinney Brothers Tobacco Company,1890,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/721981,0.0,0.0,0.0,0.0,0.9470000000000001,0.052000000000000005,0.0,0.001,1890-01-01 00:00:00,1890
721989,"Japanese, from Types of Nationalities (N240) issued by Kinney Bros.",Kinney Brothers Tobacco Company,1890,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/721989,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1890-01-01 00:00:00,1890
722004,"Spanish, from Types of Nationalities (N240) issued by Kinney Bros.",Kinney Brothers Tobacco Company,1890,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/722004,0.0,0.0,0.0,0.0,0.997,0.003,0.0,0.0,1890-01-01 00:00:00,1890
722007,"Tartar, from Types of Nationalities (N240) issued by Kinney Bros.",Kinney Brothers Tobacco Company,1890,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/722007,0.001,0.0,0.0,0.0,0.9540000000000001,0.044000000000000004,0.0,0.001,1890-01-01 00:00:00,1890
722013,"Yankee, from Types of Nationalities (N240) issued by Kinney Bros.",Kinney Brothers Tobacco Company,1890,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/722013,0.0,0.055999999999999994,0.0,0.0,0.9329999999999999,0.011000000000000001,0.0,0.0,1890-01-01 00:00:00,1890
722798,"Admiral, United States Navy, 1886, from the Military Series (N224) issued by Kinney Tobacco Company to promote Sweet Caporal Cigarettes",Kinney Brothers Tobacco Company,1888,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/722798,0.0,0.001,0.0,0.0,0.753,0.245,0.0,0.0,1888-01-01 00:00:00,1888
722801,"Chief Gummer's Mate, United States Navy, 1886, from the Military Series (N224) issued by Kinney Tobacco Company to promote Sweet Caporal Cigarettes",Kinney Brothers Tobacco Company,1888,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/722801,0.0,0.001,0.0,0.0,0.7440000000000001,0.251,0.0,0.003,1888-01-01 00:00:00,1888
725872,"Warrior, Coast of Guinea, from the Military Series (N224) issued by Kinney Tobacco Company to promote Sweet Caporal Cigarettes",Kinney Brothers Tobacco Company,1888,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/725872,0.0,0.01,0.0,0.001,0.754,0.23,0.001,0.003,1888-01-01 00:00:00,1888
